ticker,title,description,pub_date,link,author
MSFT,Microsoft says China approves its plan to buy video game-maker Activision Blizzard,Microsoft says China approves its plan to buy video game-maker Activision Blizzard,"Fri, 19 May 2023 22:43:00 GMT",https://finance.yahoo.com/news/microsoft-says-china-approves-plan-214333499.html,AP Finance
MSFT,Its Time to Think Bigger on AI. These 8 Stocks Could Be the Next Winners.,Its Time to Think Bigger on AI. These 8 Stocks Could Be the Next Winners.,"Fri, 19 May 2023 21:48:00 GMT",https://finance.yahoo.com/m/73613131-ce71-38c6-94a0-2d0155356eff/it%E2%80%99s-time-to-think-bigger-on.html,Barrons.com
MSFT,Stock winners and losers amid market volatility,Stock winners and losers amid market volatility,"Fri, 19 May 2023 21:30:00 GMT",https://finance.yahoo.com/video/stock-winners-losers-amid-market-203018558.html,Yahoo Finance Video
MSFT,'We Are Going Up': New York Mets Owner Steve Cohen Identifies 'Big Wave' Of Opportunities In This Segment. Here's How He's Positioning His Bets,'We Are Going Up': New York Mets Owner Steve Cohen Identifies 'Big Wave' Of Opportunities In This Segment. Here's How He's Positioning His Bets,"Fri, 19 May 2023 20:25:00 GMT",https://finance.yahoo.com/news/going-york-mets-owner-steve-192522453.html,Benzinga
MSFT,Elon Musk Sends a Warning to Microsoft,Elon Musk Sends a Warning to Microsoft,"Fri, 19 May 2023 20:21:00 GMT",https://finance.yahoo.com/m/3e5ac44b-d178-39b3-90ef-707ac3793290/elon-musk-sends-a-warning-to.html,TheStreet.com
MSFT,"UK not 'closed for business' after Microsoft deal blocked, insists CMA","UK not 'closed for business' after Microsoft deal blocked, insists CMA","Fri, 19 May 2023 20:17:00 GMT",https://finance.yahoo.com/news/uk-not-closed-business-microsoft-191721464.html,The Telegraph
MSFT,Alibaba Makes Another Step Towards Unlocking Value,Alibaba Makes Another Step Towards Unlocking Value,"Fri, 19 May 2023 19:34:00 GMT",https://finance.yahoo.com/news/alibaba-makes-another-step-towards-183400877.html,Benzinga
MSFT,A global antitrust alliance battles Microsoft and Amgen,A global antitrust alliance battles Microsoft and Amgen,"Fri, 19 May 2023 18:42:00 GMT",https://finance.yahoo.com/m/c1becac3-db69-31bb-be7f-71c62ed46052/a-global-antitrust-alliance.html,Financial Times
MSFT,EU antitrust regulators quiz cloud rivals on Microsoft's request for customer data,EU antitrust regulators quiz cloud rivals on Microsoft's request for customer data,"Fri, 19 May 2023 18:33:00 GMT",https://finance.yahoo.com/news/eu-antitrust-regulators-quiz-cloud-173312831.html,Reuters
MSFT,Forget Apple Stock. Heres the Reason the S&P 500 Is Doing So Well.,Forget Apple Stock. Heres the Reason the S&P 500 Is Doing So Well.,"Fri, 19 May 2023 18:16:00 GMT",https://finance.yahoo.com/m/ec82f4de-7e31-3aaa-8b01-3344bc4ab5db/forget-apple-stock.-here%E2%80%99s.html,Barrons.com
